//X Y Z R G B
94448
-0.42775705 0.12317612 2.48257971 78 79 78
-0.42323047 0.12316230 2.48230124 84 84 84
-0.41870484 0.12314849 2.48202276 80 80 80
-0.41418025 0.12313467 2.48174429 77 77 77
-0.40965670 0.12312087 2.48146605 79 79 79
-0.40513414 0.12310706 2.48118782 81 81 81
-0.40061259 0.12309325 2.48090959 80 80 80
-0.39609209 0.12307946 2.48063159 76 76 75
-0.39157254 0.12306566 2.48035336 79 79 79
-0.38705409 0.12305187 2.48007560 77 77 77
-0.38253653 0.12303807 2.47979736 79 79 79
-0.37802008 0.12302429 2.47951961 83 83 83
-0.37350464 0.12301051 2.47924185 82 82 82
-0.36899018 0.12299673 2.47896409 78 78 77
-0.36447674 0.12298294 2.47868633 78 78 78
-0.35996431 0.12296917 2.47840881 80 80 80
-0.35545200 0.12295510 2.47812510 75 75 75
-0.35093912 0.12294045 2.47782993 78 78 78
-0.34642729 0.12292581 2.47753477 82 82 81
-0.34191650 0.12291116 2.47723961 79 80 79
-0.33740681 0.12289652 2.47694445 78 78 78
-0.33289823 0.12288190 2.47664976 76 76 76
-0.32839066 0.12286726 2.47635460 77 77 77
-0.32390535 0.12286066 2.47622156 77 77 77
-0.31942153 0.12285443 2.47609615 82 82 82
-0.31493810 0.12284820 2.47597051 73 73 73
-0.31045517 0.12284198 2.47584510 80 80 80
-0.30597270 0.12283575 2.47571969 81 81 81
-0.30149066 0.12282953 2.47559428 82 82 82
-0.29700908 0.12282331 2.47546887 79 79 79
-0.29252797 0.12281708 2.47534347 77 77 77
-0.28804728 0.12281086 2.47521806 76 76 76
-0.28356707 0.12280464 2.47509265 75 75 75
-0.27908731 0.12279842 2.47496724 75 75 75
-0.27460802 0.12279221 2.47484207 73 73 73
-0.27012917 0.12278599 2.47471666 78 78 78
-0.26565075 0.12277976 2.47459126 81 81 81
-0.26117280 0.12277354 2.47446585 83 83 83
-0.25669530 0.12276732 2.47434044 81 81 80
-0.25221828 0.12276111 2.47421527 79 79 79
-0.24774168 0.12275489 2.47408986 75 75 74
-0.24326555 0.12274867 2.47396469 81 81 80
-0.23878986 0.12274245 2.47383928 79 79 79
-0.23431465 0.12273625 2.47371411 78 78 78
-0.22983988 0.12273003 2.47358894 78 78 78
-0.22536556 0.12272382 2.47346377 79 79 79
-0.22089168 0.12271760 2.47333837 80 80 80
-0.21641828 0.12271140 2.47321343 82 82 82
-0.21194531 0.12270518 2.47308803 75 75 75
-0.20747280 0.12269897 2.47296286 74 74 74
-0.20300074 0.12269276 2.47283769 79 79 79
-0.19852915 0.12268656 2.47271276 80 80 80
-0.19405800 0.12268035 2.47258759 81 81 81
-0.18958731 0.12267414 2.47246242 80 80 79
-0.18511705 0.12266793 2.47233725 80 80 80
-0.18064727 0.12266173 2.47221231 82 82 82
-0.17617874 0.12265608 2.47209859 81 81 81
-0.17173232 0.12266594 2.47229719 83 83 83
-0.16728517 0.12267579 2.47249579 86 86 86
-0.16283731 0.12268565 2.47269440 86 86 86
-0.15838873 0.12269550 2.47289300 86 86 86
-0.15393946 0.12270537 2.47309184 86 86 86
-0.14948945 0.12271522 2.47329044 86 87 86
-0.14503874 0.12272508 2.47348928 86 87 86
-0.14058731 0.12273496 2.47368813 88 89 88
-0.13613516 0.12274482 2.47388697 88 88 88
-0.13168229 0.12275469 2.47408581 89 89 89
-0.12722872 0.12276455 2.47428465 90 90 90
-0.12277443 0.12277443 2.47448373 90 90 90
-0.11831941 0.12278429 2.47468257 92 92 91
-0.11386368 0.12279417 2.47488165 95 95 94
-0.10940723 0.12280404 2.47508049 95 95 94
-0.10495009 0.12281393 2.47527981 95 95 95
-0.10049220 0.12282380 2.47547889 95 96 95
-0.09603360 0.12283368 2.47567797 96 96 96
-0.09157429 0.12284356 2.47587705 97 97 97
-0.08711425 0.12285344 2.47607613 99 99 98
-0.08265351 0.12286332 2.47627544 99 99 99
-0.07819205 0.12287322 2.47647476 101 101 100
-0.07372986 0.12288310 2.47667384 102 102 101
-0.06926695 0.12289298 2.47687316 102 102 102
-0.06480333 0.12290287 2.47707248 103 103 103
-0.06033900 0.12291277 2.47727203 103 103 103
-0.05587394 0.12292266 2.47747135 104 104 104
-0.05140816 0.12293256 2.47767091 105 105 105
-0.04694166 0.12294246 2.47787023 106 106 106
-0.04247445 0.12295236 2.47806978 107 107 107
-0.03800651 0.12296226 2.47826934 108 108 108
-0.03353786 0.12297215 2.47846889 109 109 109
-0.02906849 0.12298205 2.47866845 109 109 108
-0.02459839 0.12299196 2.47886801 110 110 109
-0.02012758 0.12300187 2.47906780 111 111 110
-0.01565604 0.12301178 2.47926760 111 111 111
-0.01118379 0.12302168 2.47946715 112 112 111
-0.00671081 0.12303160 2.47966695 114 114 113
-0.00223712 0.12304151 2.47986674 114 114 113
0.00223730 0.12305143 2.48006654 115 115 115
0.00671244 0.12306135 2.48026657 116 116 116
0.01118830 0.12307126 2.48046637 116 116 116
0.01566488 0.12308118 2.48066616 117 117 117
0.02014218 0.12309110 2.48086619 118 118 118
0.02462021 0.12310103 2.48106623 118 118 118
0.02909553 0.12309646 2.48097420 115 115 115
0.03357028 0.12309102 2.48086452 114 114 114
0.03804463 0.12308557 2.48075461 112 112 112
0.04251859 0.12308011 2.48064470 111 111 111
0.04700090 0.12309760 2.48099709 110 110 110
0.05148935 0.12312671 2.48158383 109 109 108
0.05597992 0.12315582 2.48217058 107 107 107
0.06047262 0.12318496 2.48275805 104 104 104
0.06496745 0.12321412 2.48334551 104 104 103
0.06946440 0.12324329 2.48393345 102 102 102
0.07396349 0.12327247 2.48452163 100 100 100
0.07854179 0.12342281 2.48755169 100 100 99
0.08312850 0.12356939 2.49050593 98 98 97
0.08772652 0.12371689 2.49347878 96 96 96
0.09250132 0.12408714 2.50094104 76 76 76
0.11029542 0.12380099 2.49517369 110 110 110
0.11465833 0.12365114 2.49215364 116 116 116
0.11901115 0.12350214 2.48915052 118 118 118
0.12335353 0.12335353 2.48615551 119 119 119
0.12768556 0.12320536 2.48316908 120 120 120
0.13208872 0.12313356 2.48172188 120 120 120
0.13651976 0.12309159 2.48087597 121 121 121
0.14094776 0.12304962 2.48003030 119 119 119
0.14537275 0.12300771 2.47918558 120 120 119
0.14979473 0.12296581 2.47834110 119 119 118
0.15421370 0.12292396 2.47749758 118 118 118
0.15864067 0.12289067 2.47682643 118 118 118
0.16309868 0.12288256 2.47666311 118 118 118
0.16755609 0.12287447 2.47650003 119 119 119
0.17201291 0.12286636 2.47633672 119 119 119
0.17647554 0.12286272 2.47626328 119 119 119
0.18094465 0.12286366 2.47628212 119 119 119
0.18541384 0.12286459 2.47630095 120 120 120
0.18988308 0.12286553 2.47631979 121 121 121
0.19435239 0.12286645 2.47633839 121 121 121
0.19882177 0.12286738 2.47635722 122 122 122
0.20329000 0.12286758 2.47636127 122 122 122
0.20775782 0.12286752 2.47636008 123 123 123
0.21222565 0.12286748 2.47635913 122 122 122
0.21669348 0.12286743 2.47635818 122 122 122
0.22116129 0.12286738 2.47635722 123 124 123
0.22562909 0.12286732 2.47635603 124 125 124
0.23009691 0.12286728 2.47635508 124 124 124
0.23464246 0.12290796 2.47717500 125 125 125
0.23929784 0.12300356 2.47910190 125 125 125
0.24396059 0.12309938 2.48103309 126 126 126
0.24863048 0.12319528 2.48296595 127 127 127
0.25330767 0.12329134 2.48490191 127 127 127
0.25799227 0.12338760 2.48684216 127 127 127
0.26268405 0.12348396 2.48878407 125 125 125
0.26738319 0.12358046 2.49072909 125 125 125
0.27208981 0.12367719 2.49267864 125 125 125
0.27680364 0.12377399 2.49462962 125 125 125
0.28152505 0.12387101 2.49658513 126 126 126
0.28625366 0.12396812 2.49854231 126 126 126
0.29098973 0.12406538 2.50050259 127 127 127
0.29573339 0.12416287 2.50246739 127 127 127
