//X Y Z R G B
60800
0.20206051 0.12924591 2.01789165 127 127 126
0.20570625 0.12924905 2.01794076 128 128 127
0.20935214 0.12925220 2.01798964 122 122 121
0.21299820 0.12925532 2.01803851 123 123 122
0.21664447 0.12925847 2.01808763 133 133 133
0.22029091 0.12926161 2.01813674 127 127 127
0.22393751 0.12926474 2.01818562 125 126 125
0.22758430 0.12926789 2.01823473 120 120 120
0.23123126 0.12927102 2.01828361 121 121 120
0.23487838 0.12927414 2.01833248 118 118 118
0.23852572 0.12927729 2.01838160 119 119 119
0.24217322 0.12928043 2.01843071 126 126 126
0.24582088 0.12928358 2.01847959 121 121 120
0.24946870 0.12928671 2.01852846 118 118 118
0.25319341 0.12932900 2.01918888 108 108 108
0.25707504 0.12944913 2.02106452 105 105 105
0.26096392 0.12956950 2.02294374 98 98 98
0.26486003 0.12969010 2.02482653 92 92 92
0.26960638 0.13021804 2.03306937 86 86 85
0.11681740 0.18143979 2.75517416 96 96 96
0.11567769 0.17233615 2.61693478 90 90 90
0.11740482 0.16805004 2.55184984 91 91 91
0.11904812 0.16397193 2.48992372 92 92 92
0.12061356 0.16008709 2.43093204 93 93 93
0.12210654 0.15638205 2.37467098 94 94 94
0.12360467 0.15293460 2.32232094 96 96 96
0.12543564 0.15011150 2.27945209 99 99 99
0.12739320 0.14761434 2.24153280 104 104 104
0.12935291 0.14527327 2.20598340 107 107 107
0.13126655 0.14302176 2.17179394 111 111 111
0.13312176 0.14083895 2.13864803 115 115 115
0.13492119 0.13872179 2.10649872 118 118 118
0.13666733 0.13666733 2.07530165 121 121 121
0.13864467 0.13494748 2.04918551 124 124 124
0.14171188 0.13435021 2.04011607 126 126 126
0.14475204 0.13375822 2.03112650 127 127 127
0.14786507 0.13326111 2.02357793 126 126 125
0.15133496 0.13310182 2.02115917 130 130 130
0.15485996 0.13299738 2.01957321 135 135 134
0.15837944 0.13289310 2.01798964 126 126 126
0.16189341 0.13278899 2.01640868 131 131 131
0.16545834 0.13273031 2.01551771 130 130 130
0.16909888 0.13273352 2.01556659 132 132 131
0.17273960 0.13273674 2.01561546 129 129 128
0.17638050 0.13273996 2.01566434 127 127 127
0.18002158 0.13274318 2.01571321 126 126 126
0.18366283 0.13274640 2.01576209 125 125 125
0.18730426 0.13274962 2.01581097 125 125 125
0.19094586 0.13275284 2.01585984 123 123 123
0.19458768 0.13275607 2.01590896 120 120 120
0.19822961 0.13275927 2.01595759 118 118 118
0.20187177 0.13276251 2.01600671 120 120 120
0.20551407 0.13276573 2.01605558 121 121 121
0.20915656 0.13276894 2.01610446 118 118 118
0.21279922 0.13277216 2.01615334 120 120 120
0.21644206 0.13277538 2.01620221 118 118 118
0.22008508 0.13277860 2.01625109 123 123 122
0.22372828 0.13278182 2.01629996 122 123 122
0.22737165 0.13278504 2.01634884 119 119 119
0.23101522 0.13278827 2.01639795 118 118 118
0.23465894 0.13279149 2.01644683 120 120 119
0.23830284 0.13279471 2.01649570 119 119 119
0.24194692 0.13279793 2.01654458 116 116 116
0.24559119 0.13280116 2.01659369 116 116 115
0.24923563 0.13280438 2.01664257 114 114 113
0.25294036 0.13283917 2.01717091 111 111 111
0.25681788 0.13296245 2.01904273 103 103 102
0.26070261 0.13308595 2.02091813 95 95 95
0.26460153 0.13321319 2.02285028 92 92 90
0.26894486 0.13355765 2.02808094 82 82 81
0.27524012 0.13484919 2.04769301 96 96 96
0.11678373 0.18635702 2.75437999 95 95 95
0.11568578 0.17707007 2.61711764 90 90 90
0.11741281 0.17266591 2.55202365 90 90 90
0.11905604 0.16847552 2.49008942 92 92 92
0.12062139 0.16448371 2.43108988 92 92 92
0.12211429 0.16067670 2.37482166 93 93 93
0.12353963 0.15704191 2.32109904 96 96 96
0.12489277 0.15355669 2.26958704 96 96 96
0.12675914 0.15090375 2.23037624 99 99 99
0.12873423 0.14853950 2.19543242 103 103 103
0.13064837 0.14624819 2.16156650 106 106 106
0.13250439 0.14402650 2.12872982 111 111 111
0.13430484 0.14187130 2.09687567 114 114 114
0.13605221 0.13977966 2.06596088 117 117 117
0.13845256 0.13845256 2.04634619 123 123 123
0.14151639 0.13784063 2.03730178 125 125 124
0.14461206 0.13728994 2.02916241 126 126 125
0.14777368 0.13682748 2.02232742 124 124 124
0.15123910 0.13666184 2.01987910 127 127 126
0.15472135 0.13651884 2.01776552 131 131 131
0.15823780 0.13641189 2.01618481 128 128 128
0.16174874 0.13630512 2.01460671 127 127 127
0.16530396 0.13623953 2.01363730 125 125 125
0.16894113 0.13624284 2.01368618 125 125 125
0.17257842 0.13624613 2.01373482 124 124 123
0.17621593 0.13624944 2.01378369 126 126 126
0.17985362 0.13625275 2.01383257 122 122 121
0.18349145 0.13625604 2.01388121 122 122 121
0.18712950 0.13625933 2.01393008 122 122 122
0.19076768 0.13626263 2.01397872 121 121 121
0.19440608 0.13626593 2.01402760 119 119 119
0.19804463 0.13626924 2.01407647 115 115 115
0.20168336 0.13627253 2.01412511 115 115 115
0.20532227 0.13627584 2.01417398 117 117 117
0.20896137 0.13627915 2.01422286 118 118 118
0.21260063 0.13628246 2.01427174 121 121 121
0.21624008 0.13628577 2.01432061 123 123 123
0.21987967 0.13628906 2.01436925 123 123 123
0.22351947 0.13629235 2.01441813 117 117 117
0.22715941 0.13629565 2.01446676 113 113 113
